Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Query 15,1,11476,11476,11476,0.00,0.000%,.08714,0.16,0.00,1860.0
query 17,1,66188,66188,66188,0.00,0.000%,.01511,0.01,0.00,346.0
Query 26,1,8626,8626,8626,0.00,0.000%,.11593,0.00,0.00,30.0
Oracle 28,1,44198,44198,44198,0.00,0.000%,.02263,0.01,0.00,308.0
query 30,1,9040,9040,9040,0.00,0.000%,.11062,0.04,0.00,362.0
query 45,1,21981,21981,21981,0.00,0.000%,.04549,0.00,0.00,24.0
TOTAL,6,26918,8626,66188,21438.99,0.000%,.03715,0.02,0.00,488.3
